"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.083320,0.001780,"us/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1081.524026,20.330862,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,216.000208,0.000731,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1093.294349,58.041666,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,218.365875,11.527159,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.122522,0.076235,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.024546,0.015622,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,169.000000,NaN,"counts",3
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,78.000000,NaN,"ms",3
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.291598,0.006126,"us/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,2038.298253,39.195585,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,1080.000564,0.002001,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2037.875579,53.912587,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1079.827598,25.594715,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.134864,0.037027,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.071468,0.019777,"B/op",15
