"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.081796,0.000900,"us/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1098.925108,15.355454,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,216.000206,0.000726,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1097.836863,26.198967,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,215.802304,5.901622,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.155406,0.062749,"MB/sec",3
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.030561,0.012455,"B/op",3
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,209.000000,NaN,"counts",3
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,94.000000,NaN,"ms",3
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,0.551687,0.017233,"us/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1740.958680,49.089880,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,1632.001016,0.003628,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1743.422889,154.804127,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1633.396817,110.613042,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.112025,0.078436,"MB/sec",15
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.105527,0.076436,"B/op",15
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,160.000000,NaN,"counts",15
