"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.baseline.Add.addFirst","avgt",1,10,0.059335,0.001369,"us/op",3
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate","avgt",1,10,427.659161,8.720550,"MB/sec",3
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,72.000175,0.000619,"B/op",3
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,429.100125,12.720618,"MB/sec",3
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,72.242656,1.538583,"B/op",3
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.143194,0.054290,"MB/sec",3
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.024116,0.009142,"B/op",3
"benchmarks.baseline.Add.addFirst:·gc.count","avgt",1,10,188.000000,NaN,"counts",3
"benchmarks.baseline.Add.addFirst:·gc.time","avgt",1,10,81.000000,NaN,"ms",3
"benchmarks.baseline.Add.addFirst","avgt",1,10,0.130573,0.001920,"us/op",15
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate","avgt",1,10,1091.728715,16.869357,"MB/sec",15
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,360.000344,0.001208,"B/op",15
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1089.104121,27.947196,"MB/sec",15
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,359.145912,8.658113,"B/op",15
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.126500,0.071579,"MB/sec",15
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.041687,0.023463,"B/op",15
"benchmarks.baseline.Add.addFirst:·gc.count","avgt",1,10,210.000000,NaN,"counts",15
"benchmarks.baseline.Add.addFirst:·gc.time","avgt",1,10,94.000000,NaN,"ms",15
"benchmarks.baseline.Add.addFirst","avgt",1,10,6.232799,0.096067,"us/op",1000
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate","avgt",1,10,1733.261618,25.240396,"MB/sec",1000
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,24000.014560,0.051361,"B/op",1000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1730.859286,55.377679,"MB/sec",1000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,23968.336811,811.665726,"B/op",1000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.083048,0.066146,"MB/sec",1000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,1.150913,0.922725,"B/op",1000
"benchmarks.baseline.Add.addFirst:·gc.count","avgt",1,10,227.000000,NaN,"counts",1000
"benchmarks.baseline.Add.addFirst:·gc.time","avgt",1,10,98.000000,NaN,"ms",1000
"benchmarks.baseline.Add.addFirst","avgt",1,10,736.291737,15.566454,"us/op",100000
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate","avgt",1,10,1426.631253,40.006900,"MB/sec",100000
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,2400001.812090,6.397043,"B/op",100000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1420.430346,377.313477,"MB/sec",100000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,2391205.912464,647084.838171,"B/op",100000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.556560,0.770361,"MB/sec",100000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,937.683281,1301.554543,"B/op",100000
"benchmarks.baseline.Add.addFirst:·gc.count","avgt",1,10,27.000000,NaN,"counts",100000
"benchmarks.baseline.Add.addFirst:·gc.time","avgt",1,10,83.000000,NaN,"ms",100000
"benchmarks.baseline.Add.addFirst","avgt",1,10,145983.140780,20681.839547,"us/op",10000000
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate","avgt",1,10,867.081334,82.199122,"MB/sec",10000000
"benchmarks.baseline.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,240000240.365714,824.983863,"B/op",10000000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,870.390612,199.449458,"MB/sec",10000000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,242571829.638095,68503206.007407,"B/op",10000000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,58.868452,13.488941,"MB/sec",10000000
"benchmarks.baseline.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,16403910.460952,4760680.485059,"B/op",10000000
"benchmarks.baseline.Add.addFirst:·gc.count","avgt",1,10,19.000000,NaN,"counts",10000000
"benchmarks.baseline.Add.addFirst:·gc.time","avgt",1,10,4948.000000,NaN,"ms",10000000
"benchmarks.baseline.Add.addLast","avgt",1,10,0.059929,0.000947,"us/op",3
"benchmarks.baseline.Add.addLast:·gc.alloc.rate","avgt",1,10,428.728337,5.889566,"MB/sec",3
"benchmarks.baseline.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,72.000175,0.000612,"B/op",3
"benchmarks.baseline.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,429.450120,17.109790,"MB/sec",3
"benchmarks.baseline.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,72.125035,2.942485,"B/op",3
"benchmarks.baseline.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.147271,0.052151,"MB/sec",3
"benchmarks.baseline.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.024763,0.008933,"B/op",3
"benchmarks.baseline.Add.addLast:·gc.count","avgt",1,10,178.000000,NaN,"counts",3
"benchmarks.baseline.Add.addLast:·gc.time","avgt",1,10,78.000000,NaN,"ms",3
"benchmarks.baseline.Add.addLast","avgt",1,10,0.131559,0.003126,"us/op",15
"benchmarks.baseline.Add.addLast:·gc.alloc.rate","avgt",1,10,1089.183329,20.689376,"MB/sec",15
