"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,72702361.600000,105481242.993340,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,29.000000,NaN,"counts",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,5851.000000,NaN,"ms",10000000
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,0.117367,0.003508,"us/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1014.476568,24.883181,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,256.000260,0.000907,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1017.074105,33.179791,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,256.657982,5.825876,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.145295,0.067879,"MB/sec",3
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.036654,0.017174,"B/op",3
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,210.000000,NaN,"counts",3
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,94.000000,NaN,"ms",3
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,0.730701,0.011911,"us/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,1975.920631,33.355345,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,2408.001278,0.004521,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,1974.395630,73.834376,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,2406.190134,83.848452,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.130583,0.057124,"MB/sec",15
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.159230,0.069693,"B/op",15
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,219.000000,NaN,"counts",15
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,95.000000,NaN,"ms",15
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,81.468461,2.064042,"us/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,2211.696589,55.814231,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,283880.132617,0.464638,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,2212.643112,115.548109,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,283982.720047,11796.763480,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.070476,0.047156,"MB/sec",1000
"benchmarks.persistentDeque.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,9.032168,5.985616,"B/op",1000
"benchmarks.persistentDeque.Add.addLast:·gc.count","avgt",1,10,220.000000,NaN,"counts",1000
"benchmarks.persistentDeque.Add.addLast:·gc.time","avgt",1,10,97.000000,NaN,"ms",1000
"benchmarks.persistentDeque.Add.addLast","avgt",1,10,8226.030281,243.035418,"us/op",100000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate","avgt",1,10,2254.685008,67.680236,"MB/sec",100000
"benchmarks.persistentDeque.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,29184189.537351,47.567669,"B/op",100000
