"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.baseline.Remove.removeLast:·gc.churn.PS_Survivor_Space","avgt",1,10,55.750969,21.154339,"MB/sec",10000000
"benchmarks.baseline.Remove.removeLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,15816114.956190,6111677.755279,"B/op",10000000
"benchmarks.baseline.Remove.removeLast:·gc.count","avgt",1,10,19.000000,NaN,"counts",10000000
"benchmarks.baseline.Remove.removeLast:·gc.time","avgt",1,10,5311.000000,NaN,"ms",10000000
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,426685.836467,9172.884212,"us/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,2451.762126,37.076930,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,1527558882.133333,1932.496895,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2435.895563,545.050380,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1518670097.066667,349844805.273069,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,11.762835,2.365450,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,7324740.266667,1420486.412391,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,35.000000,NaN,"counts",10000000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,621.000000,NaN,"ms",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast","avgt",1,10,3986630.061400,60537.457148,"us/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.alloc.rate","avgt",1,10,3029.576125,40.703296,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.alloc.rate.norm","avgt",1,10,14269550109.600000,5844.647123,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.churn.PS_Eden_Space","avgt",1,10,3007.201130,40.337190,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,14164164596.800000,8048835.551459,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.churn.PS_Old_Gen","avgt",1,10,7.656487,24.697925,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.churn.PS_Old_Gen.norm","avgt",1,10,36368484.000000,117170188.641447,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.churn.PS_Survivor_Space","avgt",1,10,0.694892,0.785143,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,3280076.800000,3730259.763524,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.count","avgt",1,10,102.000000,NaN,"counts",10000000
"benchmarks.paguro.rrbTree.Add.addFirstAddLast:·gc.time","avgt",1,10,1012.000000,NaN,"ms",10000000
"benchmarks.paguro.rrbTree.Add.addLast","avgt",1,10,385605.421033,13228.265830,"us/op",10000000
"benchmarks.paguro.rrbTree.Add.addLast:·gc.alloc.rate","avgt",1,10,2211.733238,55.385909,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addLast:·gc.alloc.rate.norm","avgt",1,10,1283854273.866667,1936.888215,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addLast:·gc.churn.PS_Eden_Space","avgt",1,10,2227.888625,559.524434,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1292055347.200000,303185616.207843,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addLast:·gc.churn.PS_Survivor_Space","avgt",1,10,3.152393,14.569834,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Add.addLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,1765102.933333,8147188.037771,"B/op",10000000
"benchmarks.paguro.rrbTree.Add.addLast:·gc.count","avgt",1,10,30.000000,NaN,"counts",10000000
"benchmarks.paguro.rrbTree.Add.addLast:·gc.time","avgt",1,10,786.000000,NaN,"ms",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst","avgt",1,10,6448553.166200,94177.601915,"us/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.alloc.rate","avgt",1,10,2240.242276,29.338980,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.alloc.rate.norm","avgt",1,10,17315604083.200000,5828.888625,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2249.215404,132.287865,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,17382821068.000000,895856662.131120,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.churn.PS_Old_Gen","avgt",1,10,3.924440,12.526833,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.churn.PS_Old_Gen.norm","avgt",1,10,30778596.800000,98264305.565070,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,5.583500,1.583556,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,43171840.000000,12375140.346990,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.count","avgt",1,10,134.000000,NaN,"counts",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirst:·gc.time","avgt",1,10,1157.000000,NaN,"ms",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast","avgt",1,10,8318741.127000,102005.642443,"us/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.alloc.rate","avgt",1,10,1930.891929,21.517487,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.alloc.rate.norm","avgt",1,10,18675971298.400000,5871.904096,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.churn.PS_Eden_Space","avgt",1,10,1911.454811,127.830824,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,18491008613.600000,1332037852.862829,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.churn.PS_Old_Gen","avgt",1,10,2.931102,9.352794,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.churn.PS_Old_Gen.norm","avgt",1,10,28638460.000000,91390422.641323,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.churn.PS_Survivor_Space","avgt",1,10,4.266226,0.909180,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,41264742.400000,8774133.331846,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.count","avgt",1,10,143.000000,NaN,"counts",10000000
"benchmarks.paguro.rrbTree.Remove.removeFirstRemoveLast:·gc.time","avgt",1,10,1158.000000,NaN,"ms",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast","avgt",1,10,6681825.583200,88722.057254,"us/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.alloc.rate","avgt",1,10,2521.526823,27.619163,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.alloc.rate.norm","avgt",1,10,20082373931.200000,5837.482077,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.churn.PS_Eden_Space","avgt",1,10,2522.876472,102.854878,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.churn.PS_Eden_Space.norm","avgt",1,10,20093652130.400000,825135987.206938,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.churn.PS_Old_Gen","avgt",1,10,4.461301,14.242655,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.churn.PS_Old_Gen.norm","avgt",1,10,35719000.000000,114007936.386237,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.churn.PS_Survivor_Space","avgt",1,10,5.153895,0.715876,"MB/sec",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,41058304.000000,5863994.882048,"B/op",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.count","avgt",1,10,154.000000,NaN,"counts",10000000
"benchmarks.paguro.rrbTree.Remove.removeLast:·gc.time","avgt",1,10,1184.000000,NaN,"ms",10000000
"benchmarks.persistentDeque.Add.addFirst","avgt",1,10,1505657.950700,701636.922651,"us/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate","avgt",1,10,1365.518970,404.594930,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,2759978636.000000,5815.734429,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1328.899881,468.517071,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,2729653043.200000,886187973.989994,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Old_Gen","avgt",1,10,31.831655,80.420603,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Old_Gen.norm","avgt",1,10,88182032.800000,220768286.163234,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,29.189881,36.414682,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,69015961.600000,101096286.900923,"B/op",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.count","avgt",1,10,28.000000,NaN,"counts",10000000
"benchmarks.persistentDeque.Add.addFirst:·gc.time","avgt",1,10,6341.000000,NaN,"ms",10000000
"benchmarks.persistentDeque.Add.addFirstAddLast","avgt",1,10,1342341.014800,728601.011558,"us/op",10000000
"benchmarks.persistentDeque.Add.addFirstAddLast:·gc.alloc.rate","avgt",1,10,1297.250202,515.744255,"MB/sec",10000000
"benchmarks.persistentDeque.Add.addFirstAddLast:·gc.alloc.rate.norm","avgt",1,10,2279974044.800000,5872.156402,"B/op",10000000
