"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: listSize"
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,0.123857,0.001753,"us/op",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,675.537188,9.115453,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,176.000270,0.000949,"B/op",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,682.081241,33.656442,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,177.684372,7.206900,"B/op",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.114036,0.057589,"MB/sec",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.029764,0.015315,"B/op",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,169.000000,NaN,"counts",3
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,79.000000,NaN,"ms",3
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,0.520811,0.009213,"us/op",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,1379.820385,23.659090,"MB/sec",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,1232.000934,0.003297,"B/op",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,1378.446033,46.516188,"MB/sec",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1230.776694,35.926334,"B/op",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.126671,0.087997,"MB/sec",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.113211,0.078946,"B/op",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,205.000000,NaN,"counts",15
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,93.000000,NaN,"ms",15
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,34.857556,0.973599,"us/op",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,2170.291947,58.870237,"MB/sec",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,119352.057090,0.200379,"B/op",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space","avgt",1,10,2163.940881,142.732624,"MB/sec",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Eden_Space.norm","avgt",1,10,118987.432996,6479.656187,"B/op",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space","avgt",1,10,0.159655,0.097911,"MB/sec",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,8.796123,5.453735,"B/op",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.count","avgt",1,10,211.000000,NaN,"counts",1000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.time","avgt",1,10,95.000000,NaN,"ms",1000
"benchmarks.paguro.rrbTree.Add.addFirst","avgt",1,10,3754.617081,213.086375,"us/op",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate","avgt",1,10,2346.094438,115.286369,"MB/sec",100000
"benchmarks.paguro.rrbTree.Add.addFirst:·gc.alloc.rate.norm","avgt",1,10,13847662.189125,21.639789,"B/op",100000
